::1 - - [19/Nov/2014:17:54:46 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:54:46 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:07 +0100] "GET /project/click_test.html HTTP/1.1" 200 4924
::1 - - [19/Nov/2014:17:55:07 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:07 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:15 +0100] "GET /project/click_test.html HTTP/1.1" 200 4922
::1 - - [19/Nov/2014:17:55:16 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:16 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:34 +0100] "GET /project/click_test.html HTTP/1.1" 200 4924
::1 - - [19/Nov/2014:17:55:34 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:34 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:44 +0100] "GET /project/click_test.html HTTP/1.1" 200 4924
::1 - - [19/Nov/2014:17:55:44 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:44 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:55 +0100] "GET /project/click_test.html HTTP/1.1" 200 4924
::1 - - [19/Nov/2014:17:55:55 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:55:55 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:56:03 +0100] "GET /project/click_test.html HTTP/1.1" 200 4922
::1 - - [19/Nov/2014:17:56:03 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:56:03 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:56:48 +0100] "GET /project/click_test.html HTTP/1.1" 200 4805
::1 - - [19/Nov/2014:17:56:48 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:56:48 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
